Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=46e64783bd9d2d0d,데이터전문가경력,LGCNS3.7서울,,"3년이상②,Python,SQL활용가능우대사항(해당내용중1개이상)①AI/빅데이터분석프로젝트PM/PL경험보유②AI/빅데이터분석프로젝트경험10년이상③R,Python,SAS중..."
https://kr.indeed.com/viewjob?jk=0c73ef7efc258db7,PlatformApplicationEngineer,Intel4.1서울,,"development,howeversomeassemblylanguageprogrammingandPythonscriptsmayberequiredQualificationsShouldhave..."
https://kr.indeed.com/viewjob?jk=3b51b4e35a149067,플랫폼개발-프론트엔드/백엔드개발자,아이디어콘서트제주제주시,,래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>자바...
https://kr.indeed.com/viewjob?jk=2f3c39f93e5abf96,(주)신세계아이앤씨상반기AI/기획/데이터분석부문인재,신세계아이앤씨서울중구,,"Programming:R,Python,SQL등경험자-.데이터...터넷·IT·통신·모바일·게임>응용프로그래머>Python|인터넷·IT·통신·모바일·게임>웹프로그래머>Python|인터넷·IT·통신·모바일·게임>데이터베..."
https://kr.indeed.com/viewjob?jk=48ca423ba9cc3be4,ProductTestEngineer-GPU,NVIDIA서울,,"VB.ExperienceineitherShellProg.,Awk/Sed,Perl,Pythonispreferred.ExperienceinCAD/SPICEispreferred.Experience..."
https://kr.indeed.com/viewjob?jk=dd06066d79860614,MySQLEngineer,카카오4.2성남판교역,,"지원자격대용량DBMS운영경험이있는분(실력,의지는중요하나경력'기간'은중요하지않음)python,go,bash등스크립팅언어를하나이상사용하실수있는분MySQL에대해전반적으로이해하고..."
https://kr.indeed.com/viewjob?jk=475cc377417d9a5b,데이터수집개발파트,Nexon성남분당구,,"주요업무-넥슨인하우스데이터수집시스템개발및운영지원자격-경력무관-Java또는Python,Go중에개발경험이있으신분-클라우드(AWSorAzure,GCP)서비스개발경험이..."
https://kr.indeed.com/viewjob?jk=d1e75364ef505c68,"데이터가치함께발굴하실머신러닝,통계모델링전문가",카카오4.2성남판교역,,해당기술에자신감이있으신분도환영합니다.지원자격머신러닝/통계등모델링에활용하는언어(Python/Scala/R등)및도구(Tensorflow/Pytorch등)를하나이상능숙하게다룰수있으신...
https://kr.indeed.com/viewjob?jk=e11bc11a4d72cc54,MPK/MPI-SDJointPostdoctoralPositionforUltrafastNonli...,POSTECH/MaxPlanckPOSTECH/KOREARes.Init.대한민국,,"ExperienceincomputerprogrammingusingC/C++,FORTRAN,Python,MathematicaorMatlabishighlydesirable.Thecandidatemay..."
https://kr.indeed.com/viewjob?jk=41e16c5d37456c7d,AvionicsSoftwareEngineerIntern,BOEING서울,,"softwaredevelopmentskills...simulink,c++,orpythonidealcandidatemayhaveknowledgeonaerospaceandavionics..."
https://kr.indeed.com/viewjob?jk=257110e5aec08f6d,[Search&Clova]Clova머신러닝Scientist개발신...,네이버대한민국,,"관련전공석/박사학위보유자또는관련업계경력보유자-ProgrammingSkill·Python(Tensorflow,PyTorch등의오픈소스프레임워크기반개발역량)[우대사항]·ML..."
https://kr.indeed.com/viewjob?jk=f6fe4d192f210bc7,퀀트개발자(QuantDeveloper),ATZInc.서울,"연봉30,000,000원-40,000,000원",any...followinglanguages.(C/C++/C#/Python/Java/Node.js)*ExperiencewithR...languages)C/C++/C#/Python/JavaR/Excel...
https://kr.indeed.com/viewjob?jk=b4cd3d301442dd16,SoftwareEngineer(Backend),Streami서울,"연봉30,000,000원-80,000,000원","ExperienceinJavaScript,PythonorJava...oneof:ModernJavascript,Java,Python*Experiencebuildingandmaintaining..."
https://kr.indeed.com/viewjob?jk=f281c810daf0e10d,카카오네트워크엔지니어,카카오4.2성남판교역,,"있는자신감넘치시는분(기술,응대모든면에서)해외여행결격사유없는분선호자격bash,python등을이용한인프라관리자동화스크립트가능하신분인프라운영및관리관련Tool개발/경험이있으..."
